Start at 22:51:52
Epoch [1/20], Loss: 1.8226, Accuracy: 0.2458
Accuracy of class angry : 1.83%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 0.00%
Accuracy of class happy : 93.50%
Accuracy of class neutral : 4.59%
Accuracy of class sad : 0.14%
Accuracy of class surprise : 0.00%
Epoch [2/20], Loss: 1.7553, Accuracy: 0.2802
Accuracy of class angry : 0.93%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 5.52%
Accuracy of class happy : 82.44%
Accuracy of class neutral : 10.05%
Accuracy of class sad : 17.15%
Accuracy of class surprise : 15.90%
Epoch [3/20], Loss: 1.7001, Accuracy: 0.3229
Accuracy of class angry : 5.17%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 6.18%
Accuracy of class happy : 71.44%
Accuracy of class neutral : 21.21%
Accuracy of class sad : 25.60%
Accuracy of class surprise : 43.09%
Epoch [4/20], Loss: 1.6630, Accuracy: 0.3440
Accuracy of class angry : 5.44%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 7.05%
Accuracy of class happy : 72.36%
Accuracy of class neutral : 27.46%
Accuracy of class sad : 26.15%
Accuracy of class surprise : 47.92%
Epoch [5/20], Loss: 1.6248, Accuracy: 0.3663
Accuracy of class angry : 7.25%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 9.49%
Accuracy of class happy : 72.84%
Accuracy of class neutral : 32.15%
Accuracy of class sad : 28.43%
Accuracy of class surprise : 50.82%
Epoch [6/20], Loss: 1.5915, Accuracy: 0.3827
Accuracy of class angry : 8.55%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 11.20%
Accuracy of class happy : 73.76%
Accuracy of class neutral : 34.95%
Accuracy of class sad : 30.15%
Accuracy of class surprise : 52.68%
Epoch [7/20], Loss: 1.5630, Accuracy: 0.3956
Accuracy of class angry : 11.28%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 10.76%
Accuracy of class happy : 73.91%
Accuracy of class neutral : 38.88%
Accuracy of class sad : 31.33%
Accuracy of class surprise : 53.22%
Epoch [8/20], Loss: 1.5314, Accuracy: 0.4105
Accuracy of class angry : 15.02%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 12.57%
Accuracy of class happy : 74.87%
Accuracy of class neutral : 41.74%
Accuracy of class sad : 30.19%
Accuracy of class surprise : 54.76%
Epoch [9/20], Loss: 1.5044, Accuracy: 0.4192
Accuracy of class angry : 16.80%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 13.99%
Accuracy of class happy : 74.80%
Accuracy of class neutral : 42.83%
Accuracy of class sad : 31.35%
Accuracy of class surprise : 55.21%
Epoch [10/20], Loss: 1.4796, Accuracy: 0.4297
Accuracy of class angry : 20.94%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 14.62%
Accuracy of class happy : 75.48%
Accuracy of class neutral : 43.86%
Accuracy of class sad : 31.17%
Accuracy of class surprise : 55.87%
Epoch [11/20], Loss: 1.4513, Accuracy: 0.4455
Accuracy of class angry : 24.62%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 17.38%
Accuracy of class happy : 76.45%
Accuracy of class neutral : 45.08%
Accuracy of class sad : 31.75%
Accuracy of class surprise : 56.91%
Epoch [12/20], Loss: 1.4218, Accuracy: 0.4555
Accuracy of class angry : 26.15%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 18.94%
Accuracy of class happy : 76.98%
Accuracy of class neutral : 46.49%
Accuracy of class sad : 32.76%
Accuracy of class surprise : 57.10%
Epoch [13/20], Loss: 1.4007, Accuracy: 0.4650
Accuracy of class angry : 28.34%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 20.97%
Accuracy of class happy : 77.21%
Accuracy of class neutral : 46.47%
Accuracy of class sad : 33.82%
Accuracy of class surprise : 58.26%
Epoch [14/20], Loss: 1.3779, Accuracy: 0.4714
Accuracy of class angry : 29.81%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 21.45%
Accuracy of class happy : 77.42%
Accuracy of class neutral : 47.30%
Accuracy of class sad : 34.11%
Accuracy of class surprise : 59.34%
Epoch [15/20], Loss: 1.3478, Accuracy: 0.4844
Accuracy of class angry : 31.75%
Accuracy of class disgust : 0.00%
Accuracy of class fear : 23.85%
Accuracy of class happy : 78.04%
Accuracy of class neutral : 48.17%
Accuracy of class sad : 35.16%
Accuracy of class surprise : 61.17%
Epoch [16/20], Loss: 1.3262, Accuracy: 0.4970
Accuracy of class angry : 34.20%
Accuracy of class disgust : 0.69%
Accuracy of class fear : 23.99%
Accuracy of class happy : 78.65%
Accuracy of class neutral : 49.64%
Accuracy of class sad : 37.30%
Accuracy of class surprise : 62.24%
Epoch [17/20], Loss: 1.3004, Accuracy: 0.5051
Accuracy of class angry : 35.33%
Accuracy of class disgust : 0.23%
Accuracy of class fear : 25.75%
Accuracy of class happy : 78.78%
Accuracy of class neutral : 50.36%
Accuracy of class sad : 37.77%
Accuracy of class surprise : 63.85%
Epoch [18/20], Loss: 1.2703, Accuracy: 0.5198
Accuracy of class angry : 37.01%
Accuracy of class disgust : 1.61%
Accuracy of class fear : 27.90%
