Start at 19:59:41
Epoch [1/5], Loss: 1.6097, Accuracy: 0.3430
Accuracy of class angry : 4.41%
Accuracy of class fear : 8.25%
Accuracy of class happy : 73.55%
Accuracy of class neutral : 27.52%
Accuracy of class sad : 23.96%
Accuracy of class surprise : 42.62%
Start at 20:06:19
Epoch [2/5], Loss: 1.3729, Accuracy: 0.4572
Accuracy of class angry : 26.60%
Accuracy of class fear : 15.69%
Accuracy of class happy : 76.45%
Accuracy of class neutral : 45.79%
Accuracy of class sad : 32.74%
Accuracy of class surprise : 58.33%
Epoch [3/5], Loss: 1.2214, Accuracy: 0.5223
Accuracy of class angry : 37.79%
Accuracy of class fear : 23.68%
Accuracy of class happy : 78.79%
Accuracy of class neutral : 49.98%
Accuracy of class sad : 42.31%
Accuracy of class surprise : 65.49%
Epoch [4/5], Loss: 1.1077, Accuracy: 0.5743
Accuracy of class angry : 44.63%
Accuracy of class fear : 30.34%
Accuracy of class happy : 81.43%
Accuracy of class neutral : 55.02%
Accuracy of class sad : 49.58%
Accuracy of class surprise : 69.72%
Epoch [5/5], Loss: 1.0048, Accuracy: 0.6141
Accuracy of class angry : 50.80%
Accuracy of class fear : 35.25%
Accuracy of class happy : 84.03%
Accuracy of class neutral : 59.05%
Accuracy of class sad : 53.61%
Accuracy of class surprise : 72.65%
End at 20:13:11
Start at 20:32:43
Epoch [6/30], Loss: 0.8924, Accuracy: 0.6616
Accuracy of class angry : 57.20%
Accuracy of class fear : 43.89%
Accuracy of class happy : 86.50%
Accuracy of class neutral : 62.59%
Accuracy of class sad : 58.79%
Accuracy of class surprise : 76.78%
Epoch [7/30], Loss: 0.7630, Accuracy: 0.7133
Accuracy of class angry : 62.84%
Accuracy of class fear : 53.60%
Accuracy of class happy : 89.38%
Accuracy of class neutral : 68.05%
Accuracy of class sad : 63.59%
Accuracy of class surprise : 80.76%
Epoch [8/30], Loss: 0.6195, Accuracy: 0.7696
Accuracy of class angry : 69.56%
Accuracy of class fear : 64.51%
Accuracy of class happy : 91.05%
Accuracy of class neutral : 74.42%
Accuracy of class sad : 70.26%
Accuracy of class surprise : 84.48%
Epoch [9/30], Loss: 0.4722, Accuracy: 0.8318
Accuracy of class angry : 78.69%
Accuracy of class fear : 73.54%
Accuracy of class happy : 93.68%
Accuracy of class neutral : 81.24%
Accuracy of class sad : 78.11%
Accuracy of class surprise : 88.11%
Epoch [10/30], Loss: 0.3439, Accuracy: 0.8777
Accuracy of class angry : 84.03%
Accuracy of class fear : 81.01%
Accuracy of class happy : 95.22%
Accuracy of class neutral : 86.50%
Accuracy of class sad : 84.61%
Accuracy of class surprise : 91.07%
Epoch [11/30], Loss: 0.2607, Accuracy: 0.9084
Accuracy of class angry : 88.09%
Accuracy of class fear : 85.99%
Accuracy of class happy : 96.13%
Accuracy of class neutral : 89.59%
Accuracy of class sad : 88.76%
Accuracy of class surprise : 93.63%
Epoch [12/30], Loss: 0.1924, Accuracy: 0.9376
Accuracy of class angry : 92.03%
Accuracy of class fear : 90.53%
Accuracy of class happy : 97.44%
Accuracy of class neutral : 93.37%
Accuracy of class sad : 92.11%
Accuracy of class surprise : 94.89%
Epoch [13/30], Loss: 0.1549, Accuracy: 0.9505
Accuracy of class angry : 93.81%
Accuracy of class fear : 92.46%
Accuracy of class happy : 97.77%
Accuracy of class neutral : 94.36%
Accuracy of class sad : 93.91%
Accuracy of class surprise : 96.56%
Epoch [14/30], Loss: 0.1325, Accuracy: 0.9589
Accuracy of class angry : 95.04%
Accuracy of class fear : 93.82%
Accuracy of class happy : 98.20%
Accuracy of class neutral : 95.65%
Accuracy of class sad : 94.89%
Accuracy of class surprise : 96.28%
Epoch [15/30], Loss: 0.1061, Accuracy: 0.9679
Accuracy of class angry : 96.26%
Accuracy of class fear : 95.05%
Accuracy of class happy : 98.46%
Accuracy of class neutral : 96.66%
Accuracy of class sad : 95.71%
Accuracy of class surprise : 97.76%
Epoch [16/30], Loss: 0.0781, Accuracy: 0.9779
Accuracy of class angry : 97.57%
Accuracy of class fear : 96.61%
Accuracy of class happy : 99.27%
Accuracy of class neutral : 97.42%
Accuracy of class sad : 97.16%
Accuracy of class surprise : 97.76%
Epoch [17/30], Loss: 0.0565, Accuracy: 0.9847
Accuracy of class angry : 98.24%
Accuracy of class fear : 97.32%
Accuracy of class happy : 99.47%
Accuracy of class neutral : 98.69%
Accuracy of class sad : 98.05%
Accuracy of class surprise : 98.30%
Epoch [18/30], Loss: 0.0384, Accuracy: 0.9903
Accuracy of class angry : 98.70%
Accuracy of class fear : 97.95%
Accuracy of class happy : 99.72%
Accuracy of class neutral : 99.19%
Accuracy of class sad : 98.99%
Accuracy of class surprise : 99.12%
Epoch [19/30], Loss: 0.0340, Accuracy: 0.9925
Accuracy of class angry : 99.00%
Accuracy of class fear : 98.71%
Accuracy of class happy : 99.83%
Accuracy of class neutral : 99.29%
Accuracy of class sad : 98.90%
Accuracy of class surprise : 99.37%
Epoch [20/30], Loss: 0.0236, Accuracy: 0.9947
Accuracy of class angry : 99.25%
Accuracy of class fear : 98.76%
Accuracy of class happy : 99.96%
Accuracy of class neutral : 99.76%
Accuracy of class sad : 99.17%
Accuracy of class surprise : 99.53%
